Text,Class
"""RT @IndrajithLk: ""ඝරසරප"" චිත්‍රපටය, පහළ තියෙන link එකෙන් download කරගන්න https://t.co/c7LmhTPuLt""",Neutral
"""@NightWingzzz @lishwebber @Nimezzz මොකක් හරි නාට්‍යයක් තියෙන්නත් එපැයි ඉතින්""",Neutral
"""@dead_mans_creed @Wind_Desika කිමද මේ තරම් කොහේදෝ ඇති විදපු ගලක් හා උරන මා මිතුරු පරය?""",Neutral
"""@MrThila_ @maalupaan @punchi_kella @anuwa01 @da_sukiya එහෙම කොහොමද උනේ 😂😂 පරය අපිව අයින් කරල නේ 😂""",Neutral
"""විමලයා ගොනෙක් වගෙ stage එකෙ මෑරෙන්න හදනවා.... පරය. රටට වෑඩක් කරපන් යකො. හොරා....""",Political
"""RT @SaliyaT_R: @fernandoharin ලැජ්ජයි ස⁣හෝදරයා මේ යන විදිහ දැක්කාම. ඔබලාගේ මේ කුලල්කෑම නිසා වාසි ගන්නේ තම්බි වහබ්වාදීන් සහ දෙමළ බෙදුම්වාදීන්""",Racist
"""@fernandoharin ලැජ්ජයි ස⁣හෝදරයා මේ යන විදිහ දැක්කාම. ඔබලාගේ මේ කුලල්කෑම නිසා වාසි ගන්නේ තම්බි වහබ්වාදීන් සහ දෙමළ බෙදුම්වාදීන්""",Racist
"""@She_is_Nu @nthathsaranii ඇයි මං තම්බි වගේද පෙන්නෙ😏 මං බ්‍රහස්පතින්දා ගෙදර එන්නෙ..එතකොට සිකුරාදට හොද අඩව්වක් අල්ලන්න තිබ්බා ආවනම්😅""",Neutral
"""@Sagara_9 ඉටිම් බං උතුර ඉල්ලනසෙට් එකයි නැගෙනහිරපඉල්ලන තම්බි සෙට් එකයි අයිං කොරපා බැලුවොත් බං රනිල් පරාදයි නෙහ්""",Racist
"""RT @SaliyaT_R: පේනවානේ තම්බි කවදත් ඉන්නේ උන්ට වාසි පැත්තේ. එහෙම ඉදගෙන උන්ගේ ශරියාව සහ උන්ගේ බෝවීම ස්ථාවර කරගන්නවා. උන්ගේ ටාගට් එක රටේ බහුතර…""",Racist
"""RT @ApiWenuwen: ඉතිහාසය ඉදිරියේ මෙවැනි හෙළිදරවුවක් කිරීමට අවකාශය දුන් @pcranawaka අපගේ ප්‍රණාමය පුද කල යුතුයි. පසු ගිය කාලයේ මේ රටේ ඇතිවූ…""",Neutral
"""RT @ApiWenuwen: ඉතිහාසය ඉදිරියේ මෙවැනි හෙළිදරවුවක් කිරීමට අවකාශය දුන් @pcranawaka අපගේ ප්‍රණාමය පුද කල යුතුයි. පසු ගිය කාලයේ මේ රටේ ඇතිවූ…""",Neutral
"""ඉස්ලාමය ත්‍රස්තවාදීයි .... එහි තේරුම එයයි.""",Racist
"""@reeriiyaka @SaliyaT_R පළ පළ තම්බි හු....නා තමන්ගේ වැඩක් බලාගෙන හිටු.. අපි අපේ රට ගැන බලා ගන්නම් .. අවජාතකයා""",Racist
"""@reeriiyaka @SaliyaT_R අඩෝ තම්බි පරයා .. කට වහගෙන හිටු. අල්ලාහ්ගේ හොර ගැනිට අයේශට පෝලින් දානවා පරයා.. ආ අර වයසක කඩීජා ත් හොදයි හැබැයි""",Racist
"""කාද යකෝ ඕසදීව ඩීප්ෆ්‍රීසර් එකෙ හිර කරල තිබ්බ පරය 👹️ https://t.co/Xn9MbcO9X9""",Sexism
"""RT @ApiWenuwen: ඉතිහාසය ඉදිරියේ මෙවැනි හෙළිදරවුවක් කිරීමට අවකාශය දුන් @pcranawaka අපගේ ප්‍රණාමය පුද කල යුතුයි. පසු ගිය කාලයේ මේ රටේ ඇතිවූ…""",Neutral
"""එක පැත්තකින් බැලුවාම උඩතලවින්නේ තම්බි දණ ගැස්සු චරිතයක් තමා ලොහාන් කියන්නේ .. https://t.co/J1Jc6n6Z6v""",Racist
"""RT @___journalist: සිංහලයාට සිංහල පක්ෂ නැතිමුත් දෙමළාට ඉලම වෙනුවෙන් පක්ෂ ඇත. තම්බියාට තම්බි වහබ්වාදය වෙනුවෙන් තම්බි පාර්ලිමේන්තුවේ ඇත. මේ…""",Racist
"""RT @___journalist: #Muslim ලෝකයටම පිළිලයක් වු මරක්කල කරණය (වහබ්වාදය) #Srilanka වෙන් තුරන් කළ යුතු කාලය පැමිණ ඇත. සැවොම එකයි කියමින් වෙනම ක්…""",Racist
"""@dmperera1996 පලයන් පරය""",Neutral
"""රැවුල කොණ්ඩෙ කපන්න ගිහින් පොඩ්ඩක් කොටකරන්න කිව්වම ඒ පරය කොටටම කපලා 😢😭  බාබරයට හෙණගහන්නෙපැයි කරපු අපරාදෙට😢😢  #disappointed""",Neutral
"""RT @sahankaseera: මුරලිදරන් ගේ ඉන්ටර්වීව් සීරිස් එකේ දෙවනි එක මයුමි රහීම්ස් ගෙනාවා නම් හරි නේද යාළුවනේ. ඔලිම්පික් ප්‍රොෆයිල් එකක්නේ ඉතිං.…""",sports
"""මේ දවස්වල කරු ජයසූරියට සද්දෙට පඩයක් ගියත් ගියත් ඉස්සර වෙලාම දුවන්නෙ තම්බියො ටික....ඒක ඉඹල හරිම හොඳයි හොඳ සුවඳයි කියල කෑ ගහනව. #lka""",Racist
"""@ChamikaCME හම්බයා""",Racist
"""@nima_dre ගහප් පරය 😂""",Neutral
"""Music මෙහෙ සමහරුන්ට උනාට සව්දියේ හලාල් Bro☺☺☺ https://t.co/bF0X4C0PB3""",Racist
"""RT @___journalist: #SriLankanPolitics පෙනි පෙනී සිදුවන විකිණිම සහ මිලට ගැනීම හමුවේ හුරේ දාන මොඩ ඡන්ද දායකයන් දුටුවිට .. අහෝ අප සිරබත් කෑවේ…""",Political
"""RT @MaheshNegombo: මායි හම්සයි එක ඔපිස් එකේ වැඩ කරද්දී පොඩි සෙමින එකක් තිබ්බ. පිටින් කය්ටිය ආව. ඒකට ලස්සන මුස්කිම් කෙල්ලෙක් ආව. මම හම්සට පෙ…""",Neutral
"""RT @IamRanga69: * හිස්බුල්ලා ආවා.. හලාල්, බුර්කා, මුස්ලිම් ආක්‍රමන විසදුනා. * TNA එස් වියාලේන්ද්‍රන් ආවා  ලංකාවේ කොටි ප්‍රශ්නයත් විසදුනා  #…""",Racist
"""@VGajanatha උඹලැ බලුමූනු අමිත්ගේ බණ අහල අන්න තව්හිද් ජමා සහ තම්බි අන්තවාදීන් සෙට් එක සෝවාන් වෙල .උඹල උන්ව හරිමගට ගත්ත නේ.. අනෙ හුකේ..   එකේක විකාර අවුස්සල වීඩියෝ දාල රට ඉන්න කොල්ලන්ගෙන් සල්ල්ලි හිඟාකනෝ.. ඒව ගසාකනෝ.. තොපිද් දැනුවත්ව හෝ මෝඩ කමට ඕ ගස්නරින්ට කඩේ යනව..""",Religion
"""@VGajanatha මිනිස්සු කුලප්පු කරන් ගිහින් තන්බිගෙ කඩ ගිනිතිව්වා.. පස්සෙ තම්බි ඒ එක කඩේට තුන්හතරපාර වන්දි ගත්තා.. ආන්ඩුවෙන් එකපාරයි.. පල්ලියෙන් තවපාරයි.. පොටෝ යවල රට රටවලින් තව ආදාර.  දැන් තොපි හිතාන ඉන්නව අමිත් අයියා තම්බියට ඇරිය.. තම්බියට කෙලිය කියල..  උන්ට තිබ්බටත් වඩා හොඳයි..""",Religion
"""2018-11-27 දින ඒකාබද්ධ විපක්ෂයේ මාධ්‍ය ලේකම් රේණුක පෙරේරා මහතාගේ නිවේදනයට අදාාලව අමිත් වීරසිංහ කල මාධ්‍ය සාකච්ඡාව..         ""Unp ය දේශද්‍රෙහි පක්ෂයකටවත් බුද්ධ පූජාව පවා හලාල් කල ඒකාබද්ධ විපක්ෂයටවත් එකතු වෙන්නේ නැ.."" Vidio නරඹන්න https://t.co/i7Rf2k3lYH""",Racist
"""මා UNP හෝ ඒකාබද්ධ විපක්ෂය මගින් හෝ දැනට පවතින කිසිම පක්ෂයකින් ඡන්දයකට ඉදිරිපත් වෙනවා කියා නැ.. ඒකාබද්ධ විපක්ෂය වැනි විල්පත්තුව විනාශ කල, ශ්‍රී පාදය අරාබියට විකුණු, හලාල් ගෙන ආ, බැංකු පවා ෂරියා කල, පක්ෂයකට කොහොමත් එක් වන්නේ නැ,. (18/11/28 මාධ්‍ය සාගච්ඡාව අමිත් වීරසිංහ) https://t.co/BhrH0JALWG""",Racist
"""නසිය කිව්වත් 👊 නානා  කිව්වත් 👍 තම්බි කිව්වත් 💪 කිව්වේ ආදරයට 😍 Mohamed Nazeem අපේ ආදරණිය සටන් සගය  👏 බෙදුනු රටක් එක්කරන්න  දිවි පරදුවට තියලා ගේමක් ගහපු කොල්ලෙක් 🙏 නම Nazeem නිසා 😀 නසිය කියනවා 😍 මුස්ලිම් සහෝදරයෙක්... https://t.co/RlH5FWrxKb""",Religion
"""ඉතිහාසය ඉදිරියේ මෙවැනි හෙළිදරවුවක් කිරීමට අවකාශය දුන් @pcranawaka අපගේ ප්‍රණාමය පුද කල යුතුයි. පසු ගිය කාලයේ මේ රටේ ඇතිවූ මුස්ලිම් - සිංහල ජාතිවාද කෝලහාල පිටුපස සිටියේ කවුද ? හලාල් ගෙනත් ජාතියක් වැනසීමට ජාතිවාදය අවිස්සුවේ කවුද ? අද කොහොමද මෙහෙම අගසවු තබාගෙන ඉන්නේ @Neetwit https://t.co/RjS6a9hHb7""",Racist
"""@ZayeemZiyadh @HarshadeSilvaMP @MaithripalaS @RW_UNP @PresRajapaksa තම්බිය.....උඹට ආගමක් ඇදල ගන්නම ඕන නේද වල් ඌර ? හිටපං උබෙ FB ගේම Youth Council එකට යවනකන්""",Racist
"""නිකමට අහන්නෙ,  - එදා පාර්ලිමේන්තුවේ විශ්වාසභංගයට පක්ෂව ඡන්ද 122ක් ලැබුණම සමාජ මාධ්‍යවල වගේම සමාජයෙත් පැතිරුණා මතයක්, ඒ දෙමලු සහ තම්බි එකෙක්වත් මහින්ද මහත්තයා එක්ක නැහැ සිංහලුනේ අවදිවව් කියලා.   (දැන් අපි තේරුම්... https://t.co/CzkMdVX4mx""",Racist
"""@Chandhi_Surangi තම්බි හැත්ත මැරිලා නැද්ද .. අල්ලාහ් ලංකාවට ඇවිත් ලු පාර්ලිමේන්තුවේ අල්ලාගේ පුත්තු දිනනවාද බලන්න. ඒ හින්දා වැස්ස වලායක දෙයියෝ කුවෙට් එකෙන් පොඩි ආතල් එකක් අරන්.. පවු අප්පා..""",Racist
"""@zeffb @GaloreRoasts @RajapaksaNamal @PodujanaParty @MaithripalaS @PresRajapaksa තම්බි නානා... උබගේ අදහස් මට වැදගත් නැ.. අනික උබට බැ මාගේ අදහස් කීම නවත්වන්න.. ගෙරිකම පිහිදාගෙන උබලාගේ දේ තියෙන අරාබියට පලයල්ලා.. එහෙටත් උබලාව ගන්නේ නැනේ.. ඒ නිසා සිංහල සංස්කෘතියට ගරුකරමින් ජීවත්වෙයන්.. නිකන් පොර ටොක්ස් නැතුව.. ඉතා ඉවසීමෙන් මේ ටික ලීවේ..""",Racist
"""අර හලාල් විතරයි කන්න ඕන කියල නීති ගෙනාවේ මේ උන්දැලා නේද? . 2013/2014 ලංකාවේ ඇතිවුන ප්‍රධාන ගැටලුවට හේතුවුන මේ අන්තවාදී සංවිධාන එක්ක සාකච්ඡා කලාට වැඩක් නෑ... කොහොමත් ඒ අය ඔය මහත්වරුන්ට ඡන්දය දෙන්නෙ නෑ නෑ නෑමයි https://t.co/wmJUj2LQxH""",Racist
"""මුරලිදරන් ගේ ඉන්ටර්වීව් සීරිස් එකේ දෙවනි එක මයුමි රහීම්ස් ගෙනාවා නම් හරි නේද යාළුවනේ. ඔලිම්පික් ප්‍රොෆයිල් එකක්නේ ඉතිං. ලංකාවේ ඉන්න හඩු පෙරාගත්ත තම්බි වගේද අනේ රහීම්ස් ලා.   එයාගෙන් අහන්න ඕනේ පශ්චාත් සුනාමි සංවර්ධන... https://t.co/ssst4V8KOJ""",Racist
"""සිංහලයාට සිංහල පක්ෂ නැතිමුත් දෙමළාට ඉලම වෙනුවෙන් පක්ෂ ඇත. තම්බියාට තම්බි වහබ්වාදය වෙනුවෙන් තම්බි පාර්ලිමේන්තුවේ ඇත. මේ දෙගොල්ලන්ගෙන් බේරෙන්නට සිංහල පක්ෂයක් හෝ සිංහල දේශපාලකයෙක් අවශ්‍යයයි. සොයා දිය හැකි අයෙක් සිටිත් ද? https://t.co/F3RAtUxmfs""",Racist
"""#SriLankanPolitics පෙනි පෙනී සිදුවන විකිණිම සහ මිලට ගැනීම හමුවේ හුරේ දාන මොඩ ඡන්ද දායකයන් දුටුවිට .. අහෝ අප සිරබත් කෑවේ මෙවන් පිරිසක් උදෙසාද යැයි සිතේ. යකාගේ හැටියට විමානය සේ ජනතාවට අනුව පාර්ලිමේන්තුවේ පිරිසද ""තකට තක"" ය. තම්බි දැන් මේ පැත්තේය. ඉස්සර උන් අර පැත්තේය. https://t.co/sT5hNn4qxQ""",Racist
"""මායි හම්සයි එක ඔපිස් එකේ වැඩ කරද්දී පොඩි සෙමින එකක් තිබ්බ. පිටින් කය්ටිය ආව. ඒකට ලස්සන මුස්කිම් කෙල්ලෙක් ආව. මම හම්සට පෙන්නුවා ""අඩෝ අර තම්බි කෑල්ල පට්ටනේ"" කියල.. මූ කියාපි   ""හු^^ටෝ ඒ මගේ අක්කා"" කියල  😐😐😐😐 #මතක""",Religion
"""මත්කද හුත්තො ? 2012/12/12 ලොක විනාසේ ඇවිත් මුලුලොකෙම විනාස උනා.....අදට අවුරුදු 6;මිය ගිය සිය්ලුදෙනාටම  නිවන් සුව පතන්න..""",Neutral
"""@vithanagedanu යකෝ උඹට ඕනි විදිහට සිංහල අකුරු ගලපන්න බෑ. අකුරු හරියට ලියන්න බැරිනම් සිංහලෙන් නොදා හිටු 😡""",Neutral
"""රට බෙදන සියළු කොන්දේසි වලට අද රනිල් ලිඛිතව එකඟ වී දෙමළ සංධානයේ සහය ලබා ගනී!""",Political
"""@erangatennakoon @dudeum_Nethu අනිවාර්යයෙන් හම්බ කරලා කාලා බීලා ආතල් එකේ ඉන්න ඕන.සැපේ""",Neutral
"""@AmithMalinga සල්ලි නෑ බොල.ඩොලර් 100ක් හම්බ කලොත් 15$ක් GST.28$ ක් ආදායම් බදු.ලේසි නැ""",Neutral
"""අම්ම ගාව තියනව බං එයාගෙං ඉල්ලගනිං -මීට තාත්ති😁 https://t.co/HvY0U2IvuM""",Neutral
"""sinhala hot gossip -සිංහල බෞද්ධ සේවකයන්ට සුළු ජාතික නිළදාරින්ගෙන් කරදර ප... https://t.co/NDbFk48RbT via @YouTube""",Racist
"""RT @ranjanieguruge: මඩ කරි රංජා මාව බොලොක් මෙන්න මේක ඌට ටැග් කරපල්ලා කවුරැහරි... හිටපු ආරක්ශක ලේකම් ටයි.. බේරැවල හිටපු නගරාධිපතිටයි බුකියෙ…""",Neutral
"""@BortoneA මෙහ් හුත්තො 🙄""",Neutral
"""RT @SajadLankan: @HarshadeSilvaMP @MaithripalaS @RW_UNP @USAmbSLM @USAmbKeshap හර්ශ මචං, එතකොට ඔය grant එක දුන්නේ UNP එකටද නැත්තන් රටක් හැ…""",Political
"""@SLpathumaa @Wind_Desika වයස ගැන කියල දෙන්න උබ හෙන වයස එකාද. අනෙ මේ පලයං බං යන්ඩ.""",Neutral
"""හදිසියක් උනාම එක කෝල් එකෙන් හරි අරන් පලයන් කිවුව Muthu අයියා තැන්කූ ❤️""",Neutral
"""@iamgayash ඒ උනාට සිංහල නෑනෙ""",Neutral
"""@iamgayash 😂😂😂 මම පබ්ලිසිටි අරන් දෙන්නම් .. උඹ ගේම ගහගෙන පලයන්""",Neutral
"""@Madhushankhani @nwty_ck උබ පලයන් යන්න😂😂""",Neutral
"""@hashikalpana මොංගල් ද 😑 පලයන් බන් යන්න""",Neutral
"""@tikirimaarie කොටුවෙන් ගත්තෙ සීයට තුනක් හම්බ උනා 😂🔫""",Neutral
"""RT @IndrajithLk: ලබන 2019 වසරේදී සිංහල සිනමාව වෙනුවෙන් නිකුත් වීමට නියමිත චිත්‍රපට කිහිපයක් මේ Thread එකෙන් ඔබට බලාගත හැකිය. https://t.co/8…""",Neutral
"""RT @LankadeepaNews: දෙමළ සන්ධානය එජාපයට හේත්තු වූ හේතුව ධර්මලිංගම් කියයි https://t.co/slqs1tyYhk""",Political
"""@vishiru @iamgayash සිංහල අකුරු පොඩ්ඩක් ලොකුයි වගේ !! ඒකයි ඇහුවේ !!""",Neutral
"""RT @ApiWenuwen: @sunandadesh @MaithripalaS මේක ලෝකෙට කියන්නත් @WeerawansaWimal හදුන්වන්න ඕනේ "" සිංහල ජාතිකයෙක් "" හැටියට. අම්මපා මුන් මොන #S…""",Neutral
"""ජනපති ගේ පිස්සු නැටිල්ල ගැන BBC සිංහල සේවය ලියූ දිග ලිපිය https://t.co/5V4S2n8VPs""",Political
"""සිංහ ලග්නය - Leo - 2019 නව වසර ඔබට කොහොමද? මෙන්න... https://t.co/ZDTKfYxdTC""",Neutral
"""මොකද්ද මතක් උන සිංහල සින්දුව? https://t.co/pjwsdaQKv8""",Neutral
"""@DJSlash9 ඔව් ඔව්, ගෙදරක හැදුවොත් තමයි ඉතින්. නිවාඩුවට කොස් තියෙන කාලෙට ගෙදර ගියොත් ඉතින් ඔය මෙනු එක මට හම්බ වෙනවමයි.""",Neutral
"""@officialunp සරල සිංහල ව්‍යාකරණ වත් දන්නෙ නැති එකෙක් මේක දාල තියෙන්නෙ. රට හදන්න කලින් තමන්ගෙ මව් භාෂාව වත් ඉගෙනගෙන වරෙන්. පක්ෂයටත් අපහාසයක්.""",Neutral
"""@vithanagedanu අනේ පලයන් හූනූ පැටියෝ යන්න.. දෙහි ගෙඩි දෙකක් තරම් උස නෑ එනවා මාව මරන්න...😂😂😂""",Neutral
"""BBC News සිංහල - ඊෂා අම්බානි: ඉන්දියාවේ ධනවත් ම පුද්ගලයාගේ දියණියගේ උත්කර්ෂවත් විවාහය https://t.co/H0Y7TtbGEB""",Neutral
"""ආච්චිට සීයා හම්බ වුනොත් හුරගෙන කනවලු https://t.co/1DG7ohdnjT""",Neutral
"""RT @hamsoon: BBC News සිංහල - අකිල ධනංජයගේ පන්දු යැවීමේ විලාසය නීති විරෝධීයි - අයිසීසී https://t.co/0RXGDl3wEf""",sports
"""RT @hamsoon: BBC News සිංහල - ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය: සති හයක් ඉක්මවා ගිය අර්බුදයේ සුවිශේෂ අවස්ථා https://t.co/Dyx4eswMwP""",Political
"""RT @hamsoon: BBC News සිංහල - ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය: ජනපති මෛත්‍රීපාල සිරිසේනගේ මානසික සෞඛ්‍යය ගැන අභියාචනාධිකරණයට පෙත්සමක් https://…""",Political
"""RT @hamsoon: BBC News සිංහල - ශ්‍රී ලංකාවේ දේශපාලන අර්බුදය විසඳීමට ජනපති දුන් සහතික කාලය තව දිනකින් අවසන් https://t.co/Thrv2mJWjV""",Political
"""RT @LankadeepaNews: දෙමළ සන්ධානය එජාපයට හේත්තු වූ හේතුව ධර්මලිංගම් කියයි https://t.co/slqs1tyYhk""",Political
"""RT @cleanpoltics: @HarshadeSilvaMP ලංකාව =මෆියාලන්තය ඡනාධිපති=මෆියාඅධිපති අගමැති=මෆියාපති අැමති=මෆියාමැති නියොඡය අැමති =නියොඡය මෆියාමැති  ම…""",Political
"""ගරාජ් රස්සාවක් කල නිසා අතඅැරපු පෙම්වතාව වසර 7 කට පස්සේ හම්බ උන උපාධිධාරිනිය විමතියට පත් උනා..... https://t.co/OVBRtT6sbf""",Neutral
"""RT @sraddhabuddhi: ""රනිල්ට කිසි දා ඡන්දයෙන් විධායක ජනාධිපති වෙන්න බැහැ. දෙමළ ජාතිවාදීන්ට සන්ධීය රාජ්‍යය පිහිටුවා ගන්න  විධයක ජනාධිපති බාධාව…""",Political
"""@AmithMalinga පලයන් යකො යන්න! ලෙඩ පිට දිව්වෙ හහ්! 🤪🤪🤪""",Neutral
"""ගුම්මෝනින් ප්‍රෙන්. පුලුවන් එකෙක් ඉන්නවනම් කියාගෙන පලයන්. 😂😂😂😂😂😂""",Neutral
"""ජනපති ට දුන් කාලය අවසානයි.  දැන් පලයන්""",Political
