Id,Text,Class,Filtered_sentence
0, දින ඒකාබද්ධ විපක්ෂයේ මාධ්‍ය ලේකම් රේණුක පෙරේරා මහතාගේ නිවේදනයට අදාාලව අමිත් වීරසිංහ කල මාධ්‍ය සාකච්ඡාව…,Political,දින එකාබද්ධ විපක්ෂ මාධ්‍ ලේක රේනුක පෙරේර මහත නිවේදනය අදාාල අමි වීරසිංහ කල මාධ්‍ සාකච්චාව…
1,මා UNP හෝ ඒකාබද්ධ විපක්ෂය මගින් හෝ දැනට පවතින කිසිම පක්ෂයකින් ඡන්දයකට ඉදිරිපත් වෙනවා කියා නැ ඒකාබද්ධ විපක්ෂය වැනි වි…,Political,මා එක්සත් ජාතික පක්ෂ එකාබද්ධ විපක්ෂ පවති කිසි පක්ෂ චන්දයක ඉදිරිප වෙ කි නැ එකාබද්ධ විපක්ෂ වි…
2,  කිමද මේ තරම් කොහේදෝ ඇති විදපු ගලක් හා උරන මා මිතුරු පරය,Neutral,කිම තර කොහේද විද ගල උරන මා මිතුර පරය
3,     එහෙම කොහොමද උනේ 😂😂 පරය අපිව අයින් කරල නේ 😂,Neutral,එහෙ කොහොම උනේ 😂😂 පරය අපි අය කරල නේ 😂
4,විමලයා ගොනෙක් වගෙ stage එකෙ මෑරෙන්න හදනවා පරය රටට වෑඩක් කරපන් යකො හොරා,Political,විමල ගොන වගෙ  එකෙ මෑරෙ හද පරය රටට වෑඩ කර යකො හොර
5, ලැජ්ජයි ස⁣හෝදරයා මේ යන විදිහ දැක්කාම ඔබලාගේ මේ කුලල්කෑම නිසා වාසි ගන්නේ තම්බි වහබ්වාදීන් සහ දෙමළ බෙදුම්වාදීන්,Racist,ලැජ්ජ ස⁣හෝදර විදිහ දැක්කා ඔබ කුලල්කෑ වාසි ග තම්බි වහබ්වාදී දෙමල බෙදුම්වාදී
6, ලැජ්ජයි ස⁣හෝදරයා මේ යන විදිහ දැක්කාම ඔබලාගේ මේ කුලල්කෑම නිසා වාසි ගන්නේ තම්බි වහබ්වාදීන් සහ දෙමළ බෙදුම්වාදීන්,Racist,ලැජ්ජ ස⁣හෝදර විදිහ දැක්කා ඔබ කුලල්කෑ වාසි ග තම්බි වහබ්වාදී දෙමල බෙදුම්වාදී
7,  ඇයි මං තම්බි වගේද පෙන්නෙ😏 මං බ්‍රහස්පතින්දා ගෙදර එන්නෙඑතකොට සිකුරාදට හොද අඩව්වක් අල්ලන්න තිබ්බා ආවනම්😅,Neutral,මං තම්බි වගේ පෙන්නෙ😏 මං බ්‍රහස්පතින්ද ගෙදර එන්නෙඑතකො සිකුරාද හොද අඩව්ව අල්ල තිබ්බ අවනම්😅
8, ඉටිම් බං උතුර ඉල්ලනසෙට් එකයි නැගෙනහිරපඉල්ලන තම්බි සෙට් එකයි අයිං කොරපා බැලුවොත් බං රනිල් පරාදයි නෙහ්,Racist,ඉටි බං උතුර ඉල්ලනසෙට එක නැගෙනහිරපඉල්ල තම්බි සෙට එක අයිං කොරප බැල බං රනිල පරාද නෙහ
9,පේනවානේ තම්බි කවදත් ඉන්නේ උන්ට වාසි පැත්තේ එහෙම ඉදගෙන උන්ගේ ශරියාව සහ උන්ගේ බෝවීම ස්ථාවර කරගන්නවා උන්ගේ ටාගට් එක රටේ බහුතර…,Racist,පේනවාන තම්බි කවද ඉ උන් වාසි පැත්ත එහෙ ඉදගෙ උ ෂරියා උ බෝවී ස්ථාවර කරගන් උ ටාගට එක රටේ බහුතර…
10,ඉතිහාසය ඉදිරියේ මෙවැනි හෙළිදරවුවක් කිරීමට අවකාශය දුන්  අපගේ ප්‍රණාමය පුද කල යුතුයි පසු ගිය කාලයේ මේ රටේ ඇතිවූ…,Neutral,ඉතිහාස ඉදිරි මෙ හෙලිදරවුව කිරීම අවකාෂ ද අප ප්‍රනාම පුද කල යුතු පසු ගිය කාල රටේ ඇතිවූ…
12,ඉස්ලාමය ත්‍රස්තවාදීයි  එහි තේරුම එයයි,Racist,ඉස්ලාම ත්‍රස්තවාදී එහි තේරු එ
13,  පළ පළ තම්බි හුනා තමන්ගේ වැඩක් බලාගෙන හිටු අපි අපේ රට ගැන බලා ගන්නම්  අවජාතකයා,Racist,පල පල තම්බි හු තම වැඩ බලාගෙ හිට අපි අපේ රට බලා ගන්න අවජාතක
14,  අඩෝ තම්බි පරයා  කට වහගෙන හිටු අල්ලාහ්ගේ හොර ගැනිට අයේශට පෝලින් දානවා පරයා ආ අර වයසක කඩීජා ත් හොදයි හැබැයි,Racist,අඩෝ තම්බි පර කට වහගෙ හිට අල්ලාහ් හොර ගැනි අයේෂ පෝල දා පර අර වයසක කඩීජ ත් හොද හැබැ
15,කාද යකෝ ඕසදීව ඩීප්ෆ්‍රීසර් එකෙ හිර කරල තිබ්බ පරය 👹️ ,Sexism,කාද යකෝ ඔසදී ඩීප්ෆ්‍රීසර එකෙ හිර කරල තිබ්බ පරය 👹️
17,එක පැත්තකින් බැලුවාම උඩතලවින්නේ තම්බි දණ ගැස්සු චරිතයක් තමා ලොහාන් කියන්නේ  ,Racist,එක පැත්ත බැලුවා උඩතලවි තම්බි දන ගැස්ස චරිතය තමා ලොහා කිය
18,සිංහලයාට සිංහල පක්ෂ නැතිමුත් දෙමළාට ඉලම වෙනුවෙන් පක්ෂ ඇත තම්බියාට තම්බි වහබ්වාදය වෙනුවෙන් තම්බි පාර්ලිමේන්තුවේ ඇත මේ…,Racist,සිංහලයා සිංහ පක්ෂ නැතිමු දෙමලා ඉලම පක්ෂ ඇත තම්බියා තම්බි වහබ්වාද තම්බි පාර්ලිමේන්ත ඇත මේ…
19,Muslim ලෝකයටම පිළිලයක් වු මරක්කල කරණය වහබ්වාදය Srilanka වෙන් තුරන් කළ යුතු කාලය පැමිණ ඇත සැවොම එකයි කියමින් වෙනම ක්…,Racist,මුස්ලි ලෝකයට පිලිලය වු මරක්ක කරන වහබ්වාද ෂ්‍රී ලංකා  තුර කල යුත කාල පැමින ඇත සැවො එක කිය වෙන ක්…
20, පලයන් පරය,Neutral,පල පරය
