,Text,label
0,නියම සිංහල මහත්මයෙක්.,POSITIVE
1,අන්න මිනිස්සු...,POSITIVE
2,අයියෝ සල්ලි,NEGATIVE
3,අනේ මටත් හිතෙනවා ඒ හරියෙන් ම ගෙයක් හදාගන්න.. දෙන්න දෙන්න ලැබෙනවා කියලා කියමනක් තියෙනවානේ..,POSITIVE
4,ඒක හොද ක්‍රියාවක් වුණත් සොරකමට අනුබල දීමක් නිසා අනුමත කරන්න පුලුවන්ද?,NEGATIVE
5,දීය යුතු දඩුවම ලබු ගෙඩියේ අයිතිකරු විසින් ලබා දී ඇත. සොරාගත් අයට මෙය මතක ඇති තාක් කල් මානසික නිදහසක් නැහැ.,POSITIVE
6,මටත් ආසයි ලබු කිරිබත් කන්න.,POSITIVE
7,ලබු කිරිබත් වලට වඩා රසයි ලබු කොළෙන් හදන එක්තරා කෑමක්.,POSITIVE
8,ලබු ඕනෑවට වඩා කෑමෙන් ශරීරයේ ඇට මෙලෙක් වෙනවා. බොහොම පරිස්සමින් හොදේ.....,NEGATIVE
9,ඒ මනුෂ්‍යයා හොඳ කෙනෙක්.. හරිදේ ඒකයි... පින්වැඩි කමට තව තව ලබු වැඩියෙන් හැදෙයි...මේකෙන් හොරාත් හැදෙයි. ලබු අයිතිකරුට දෙවියන්ගේ ආශිර්වාදය ලැබේවා..! දෙන තරමට තමයි ලැබෙන්නේ..,POSITIVE
10,හිතහොද මනුස්සයෙක්.,POSITIVE
11,හොරු බෝ කරන කෙනෙක්.,NEGATIVE
12,නිමල් වගේ අය තමයි පොල් ගෙඩියටත් උසාවි යන්නේ... මිනිසුන් ගැන ඔයිට වඩා හිතන්න ඕන. අපි කවුරුත් යනකොට මොනවත් අරන් යන්නේ නෑ. ඉන්නකං අනිත් අයට උපකාර කරන්න ඕන. මේක ආදර්ශයට ගත යුතු ක්‍රියාවක්...,POSITIVE
13,නෑ නිමල් මහත්තයා.. එයා අයිත් හොරකම් කරන එකක් නැ... එයාට නියම දඬුවම තමයි දුන්නේ. ගහන බනින ක්‍රමයට වඩා ඒක හොඳයි...,POSITIVE
14,කාටත් හොද වටිනා ආදර්ශයක්,POSITIVE
15,හිත හොද වැඩි උනාමත් ප්‍රශ්න,NEGATIVE
16,මිනී මැරීමට තැත් කිරීම එල්ලුම් ගහ හිමිවන වරදක්... වැරදි කරුවනට දඬුවම් ලැබේවා...!,NEGATIVE
17,මේ වැඩේට උපරිම දඩුවම් දෙන්න ඕනේ,NEGATIVE
18,හිතක් පපුවක් නැති මිනිස්සු,NEGATIVE
19,ඉතා හොදයි,POSITIVE
20,මේ වරදටනම් උපරිම දඩුවම් දෙන්න ඕනේ,NEGATIVE
21,මේ පුද්ගලයා වෙදකමට කොහෙත්ම සුදුසු නැහැ. ිනයම වෛද්‍යවරයා බෝසත් ගුණවලින් පිරිපුන් කෙනෙක් විය යුතු නිදා,NEGATIVE
22,අනේ මන්දා මෙහෙමත් අජාසත්තලා.,NEGATIVE
23,මේ වගේ දේවල් කරන අයගේ රෙදි ගලවලා උසාවි යවන්න ඕනේ.,NEGATIVE
24,මේවට උපරිම දඩුවම් දෙන්න.,NEGATIVE
25,දැන් ලංකාව බෞද්ද රටක් කියල හැම කෙනෙන්ක්ටම ඕනෑම දෙයක් කරලා අවරුදු 5 විතර හිරේ දාල නිදහස් කරනවා . මමනම් කියන්නේ මේවගේ වැරදිවලට මේ තුන්දෙනාවත් බස්සන ඕනෙ ඇසිඩ් බැරල් එකකකට පණපිටින්. බොරුවට මුන්ව හිරේ දාල අපේ අදායම් බදු වලින් මුන්ට කන්න දෙන්න හොද නැහැ.,NEGATIVE
26,මේ අයට උපරිමයෙන් දඬුවම් දෙන්න.,NEGATIVE
27,ඇසිඩ් වලින්ම මරණයට පත්කළ යුතුයි.,NEGATIVE
28,මෙයාලට උපරිම දඩුවම් දෙන්න.,NEGATIVE
29,බුරුලක් දෙන්න එපා,NEGATIVE
30,අනික් අයටත් දැන ගන්න උපරිම දඬුවම් දෙන්න ...,NEGATIVE
31,මෙන්න ලංකාව උතුම් යැයි මොරදෙන්නන්ට හොද කණේ පහරක්.,NEGATIVE
32,බය නැතිව කරනවානේ මේවා,NEGATIVE
33,බුරුලක් දෙන්නම එපා,NEGATIVE
34,සුදු වෑන් එකක් එන්න ඕන 3 දෙනාවම අරන් යන්න...,NEGATIVE
35,දැඩි දඩුවම් දෙන්න,NEGATIVE
36,හිඟන්නන්ට මුදල් දීලා අපි හාඟන්නු වෙන එක විතරයි වෙන්නේ,NEGATIVE
37,අපි කෙනෙකුට යමක් දෙන්නේ යහපත් චේතනාවෙන්. ඉන් යහපත් යමක් කිරීම ලබන්නාගේ වගකීමයි.,POSITIVE
38,හිඟාකෑමත් හොඳ රස්සාවක් වෙලා,POSITIVE
39,හිගාකන එක එයාගෙ රස්සාව. සෙන්ට් නෙමෙයි ඕනෑ දෙයක් ගාන්න එයාලටත් අයිතිය තිබෙනවා.,POSITIVE
40,සල්ලි තිබුණත් එයාලා හිගන්නොනේ.,NEGATIVE
41,අපේ රටේ තියෙන තත්ත්වය අනුව මෙවැනි දේවල් වහාම පොලිසියට දන්වන්න ඕනෑ කියලයි මට හිතෙන්නේ.,NEGATIVE
