Text,Class,Filtered_sentence
SriLankanPolitics පෙනි පෙනී සිදුවන විකිණිම සහ මිලට ගැනීම හමුවේ හුරේ දාන මොඩ ඡන්ද දායකයන් දුටුවිට  අහෝ අප සිරබත් කෑවේ…,Political,ෂ්‍රී ලංකන් දේෂපාලන පෙ පෙන සිදුව විකිනි මිල ගැනී හම හුර දාන මොඩ චන් දායක දුටුවි අහෝ අප සිරබ කෑවේ…
SriLankanPolitics පෙනි පෙනී සිදුවන විකිණිම සහ මිලට ගැනීම හමුවේ හුරේ දාන මොඩ ඡන්ද දායකයන් දුටුවිට  අහෝ අප සිරබත් කෑවේ…,Political,ෂ්‍රී ලංකන් දේෂපාලන පෙ පෙන සිදුව විකිනි මිල ගැනී හම හුර දාන මොඩ චන් දායක දුටුවි අහෝ අප සිරබ කෑවේ…
lanka C news  රනිල් අගමැති කරන්න යෝජනාවක් පාර්ලිමේන්තුවට  වැනිදා ඡන්ද විමසීමක් දෙමල සන්ධානයත් පක ,Political,   රනිල අගමැ කර යෝජනාව පාර්ලිමේන්තුව වැනිද චන් විමසීම දෙම සන්ධාන පක
lanka C news  රනිල් අගමැති කරන්න යෝජනාවක් පාර්ලිමේන්තුවට  වැනිදා ඡන්ද විමසීමක් දෙමල සන්ධානයත් පක ,Political,   රනිල අගමැ කර යෝජනාව පාර්ලිමේන්තුව වැනිද චන් විමසීම දෙම සන්ධාන පක
Jvp එක උගුරට හොරා බෙහෙත් බොනවjvp කරන්න ඕන ඒව රන්ජන් තනියම ගේම ගහනව,Political, එක උගුර හොර බෙහෙ බොනව කර ඔන එව රන්ජ තනිය ගේම ගහන
Jvp එක උගුරට හොරා බෙහෙත් බොනවjvp කරන්න ඕන ඒව රන්ජන් තනියම ගේම ගහනව,Political, එක උගුර හොර බෙහෙ බොනව කර ඔන එව රන්ජ තනිය ගේම ගහන
Gotabaya Rajapaksa ජනාධිපතිතුමණි ඔබතුමා රටක් පාලනය කරන්න තියා ගමේ මරණාධාර සමිතියේ සභාපතිකමටවත් සුදුසු නෑ කියලා ඔප්පු කරලා ඉවරයි,Political,  ජනාධිපතිතුමනි ඔබතුම රට පාලන කර ති ගමේ මරනාධාර සමිති සබාපතිකමට සුදුස කිය ඔප් කර ඉවර
Gotabaya Rajapaksa ජනාධිපතිතුමණි ඔබතුමා රටක් පාලනය කරන්න තියා ගමේ මරණාධාර සමිතියේ සභාපතිකමටවත් සුදුසු නෑ කියලා ඔප්පු කරලා ඉවරයි,Political,  ජනාධිපතිතුමනි ඔබතුම රට පාලන කර ති ගමේ මරනාධාර සමිති සබාපතිකමට සුදුස කිය ඔප් කර ඉවර
Gayani Manjula Wedage දන්න තරමින් අක්කා දේශපාලකයන්ට කඩේ යන එක එකාගේ හොර අඹුවක් නෙවෙයි මෙහෙම පේජ් කරන මිනිස්සුන්ට අපහාස කරන අය වෙනුවෙන් ගන්න පුළුවන් හොදම පියවර ගන්න අක්කේ මොකද මේක පුංචි අපහාසයක් නම් නෙවෙයි,Political,   ද තර අක් දේෂපාලකයන් කඩේ එක එක හොර අබුව නෙවෙ මෙහෙ පේජ කරන මිනිස්සුන් අපහාස කරන අය ග පුලු හොද පියවර ග අක් මොක මේක පුංචි අපහාසය නෙවෙ
Gayani Manjula Wedage දන්න තරමින් අක්කා දේශපාලකයන්ට කඩේ යන එක එකාගේ හොර අඹුවක් නෙවෙයි මෙහෙම පේජ් කරන මිනිස්සුන්ට අපහාස කරන අය වෙනුවෙන් ගන්න පුළුවන් හොදම පියවර ගන්න අක්කේ මොකද මේක පුංචි අපහාසයක් නම් නෙවෙයි,Political,   ද තර අක් දේෂපාලකයන් කඩේ එක එක හොර අබුව නෙවෙ මෙහෙ පේජ කරන මිනිස්සුන් අපහාස කරන අය ග පුලු හොද පියවර ග අක් මොක මේක පුංචි අපහාසය නෙවෙ
